cluster,parent_wnn_cluster,nuclei,percent_of_all_nuclei,smallest_library_fraction,largest_library_fraction,top_RNA_markers,historical_d21_best_match,historical_d21_overlap_strength,historical_d21_overlap_n,historical_d21_jaccard,historical_d21_enrichment_p_adj,historical_d21_shared_genes,historical_d21_reference_caution,review_scope,review_hint,broad_compartment,cell_state,cell_state_full,annotation_confidence,evidence_summary,approved
10,10,517,4.390285326086956,44.294003868471954,55.705996131528046,Htr4;Fut9;Cftr;B4galnt3;Sema5a;Pde3a;Sorbs2;Esrrg;Gm20275;Tinag;Gm43824;Nxpe2;Mcc;Kcnq1;Phlpp1,Stem,Strong,10,0.1111111111111111,2.9370107810502227e-16,Fut9;Nxpe2;Cftr;Cttnbp2;Acsm3;Nxpe4;Clca3a2;Slc5a8;Kcnq1;Lgr5,The historical stem signature is broad and crypt/absorptive; do not use it alone to assign an ISC label.,standard_review,no preassigned hypothesis,epithelial,ISC-like,Lgr5+/Smoc2+/Htr4+ ISC-like crypt cell,high,"Htr4, Cftr, Fut9, Lgr5, Smoc2, Lrig1, Hmga2, and the strong historical stem match support an ISC-like crypt identity; the historical signature is used only as corroboration.",TRUE
11,11,358,3.0400815217391304,100,100,Arcn1;Cmas;Nbr1;Kat6a;Sqor;Tlk2;Clasp1;Thrap3;Luc7l3;Antxr2;Bbx;Yme1l1;Cog3;Tnks;Zmym4,No meaningful historical match,No meaningful match,0,0,1,,Historical reference provides no meaningful match; do not force a label.,standard_review,no preassigned hypothesis,unresolved,Low-complexity unresolved,Low-complexity unresolved CON-dominant offshoot,low,"After removal of the approved 42-nucleus tuft child, the 358 residual nuclei lack a coherent detection-enriched RNA marker program, have low RNA/ATAC complexity, and are confined to the CON library. They are retained as a low-complexity unresolved offshoot rather than assigned a biological cell type.",TRUE
11_tuft,11,42,0.35665760869565216,23.80952380952381,76.19047619047619,St18;Dclk1;Nebl;Fyb;Sh2d6;Rgs13;Dgki;Itprid1;Tanc2;Pik3r5;Irag2;Dnah5;Myo1b;Itpr2;Slc9a9,Tuft,Strong,28,0.39436619718309857,1.0465363131291814e-63,Dclk1;St18;Sh2d6;Rgs13;Nebl;Itprid1;Dgki;Gnat3;Dnah5;Pik3r5;Fyb;Pou2f3;Sh2d7;Chat;Plcg2;Hck;Bmx;Trpm5;Pik3cg;Alox5;Hpgds;Pygl;Tuba1a;Tspan6;Vav1;Chn2;Matk;Alox5ap,No source-specific caution was flagged; cross-platform validation still applies.,focused_subcluster_review,"Approved focused WNN child from Step 5B; review its multimodal separation, QC, and marker-program evidence.",epithelial,Tuft,Dclk1+/Pou2f3+/Trpm5+ tuft cell,high,"The Step 5B focused WNN child contains 42 nuclei and shows concordant Dclk1, Pou2f3, Trpm5, Gnat3, Sh2d6, Rgs13, St18, and related tuft-cell genes, with a strong historical tuft match and multimodal separation.",TRUE
12,12,388,3.2948369565217392,20.61855670103093,79.38144329896907,mt-Nd5;mt-Nd3;mt-Nd2;mt-Nd4;mt-Co1;mt-Cytb;Hmgcs2;mt-Nd1;mt-Atp8;mt-Co2;Slc8a1;Dmbt1;Pcsk5;Hsd3b3;mt-Co3,Stem,Moderate,7,0.07526881720430108,2.5599130643367516e-10,Hmgcs2;Hsd3b3;Slc6a14;Slc4a4;Akr1c19;Paqr5;Dgkh,The historical stem signature is broad and crypt/absorptive; do not use it alone to assign an ISC label.,standard_review,no preassigned hypothesis,epithelial,Hmgcs2+ absorptive,Hmgcs2+/Hsd3b3+ metabolic absorptive colonocyte,moderate,"Hmgcs2, Hsd3b3, Slc4a4, Car1, Nr1h4, Guca2a, and Slc6a14 support a metabolic absorptive colonocyte program. Mitochondrial transcripts dominate the top markers and one library contributes 79.4%, limiting precision.",TRUE
13,13,283,2.403192934782609,48.0565371024735,51.9434628975265,Ptprc;Arhgap15;Skap1;Dock10;Dock2;Mir142hg;Cd226;Mbnl1;Ikzf2;mt-Co2;Ripor2;mt-Nd1;St6galnac3;Tmsb4x;mt-Co3,TCell,Strong,15,0.17647058823529413,1.5968706948674923e-27,Ptprc;Skap1;Klrd1;Ptpn22;Ccl5;Ms4a4b;Ctsw;Il2rb;Runx3;Gimap4;Cd7;Klra7;Trbc2;Trbc1;Mndal,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,immune,T/NK lymphocyte,Cytotoxic T/NK lymphocyte,high,"Ptprc, Skap1, Klrd1, Ccl5, Nkg7, Trbc1, Trbc2, Cd3e, Ctsw, and Il2rb support a cytotoxic T/NK lymphocyte identity.",TRUE
14,14,172,1.4605978260869565,9.883720930232558,90.11627906976744,Kcnma1;Muc2;9030622O22Rik;Slc12a8;Ptprn2;Sytl2;Tnfaip8;Fut8;Smim14;Elapor1;Hepacam2;Plcb4;Galnt7;Car8;Pdxdc1,DSC,Moderate,6,0.06593406593406594,1.0422399984566237e-8,Slc12a8;Sytl2;Hepacam2;Pdia5;Spdef;Cbfa2t3,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,epithelial,DCS-like,Muc2+/Slc12a8+ deep crypt secretory-like cell,moderate,"Muc2, Slc12a8, Sytl2, Kit, Agr2, Spdef, Bcas1, Car8, and the historical DCS match support a deep-crypt secretory-like identity. Reg4 was not defining and one library contributes 90.1%, so the label remains conservative.",TRUE
15,15,158,1.341711956521739,41.139240506329116,58.860759493670884,Kcnb2;Map2;Cacna1a;Rimbp2;Pyy;Rims2;Etv1;Cacnb2;Nrxn1;Pclo;Cacna2d1;Itpr1;Cadps;Ptprt;Adcy2,EEC,Limited,3,0.04285714285714286,1.8135085205667697e-4,Pyy;Gcg;Insl5,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,epithelial,L-cell EEC,Pyy+/Gcg+/Insl5+ enteroendocrine L cell,high,"Pyy, Gcg, Insl5, Rfx6, Cpe, Isl1, Pax6, Pcsk1, and Neurod1 support a colonic enteroendocrine L-cell identity.",TRUE
16,16,152,1.2907608695652173,42.76315789473684,57.23684210526316,Prkg1;Myh11;Dmd;Cacnb2;Sntg2;Cacna1c;Rbpms;Synpo2;Sema3a;Foxp2;Slc24a3;Meis2;Cald1;Pcdh7;Svil,No meaningful historical match,No meaningful match,0,0,1,,Historical reference provides no meaningful match; do not force a label.,standard_review,no preassigned hypothesis,stromal,Smooth muscle,Myh11+/Acta2+ intestinal smooth muscle cell,high,"Myh11, Acta2, Tagln, Prkg1, Carmn, Cald1, Des, Synpo2, and Rbpms define an intestinal smooth-muscle population.",TRUE
17,17,146,1.2398097826086956,47.945205479452056,52.054794520547944,Kcnb2;Chgb;Cadps;Slc38a11;Scn3a;Nrxn1;Chga;Ctnna2;Rgs7;Tafa1;Rora;Cacna2d1;Snap25;Runx1t1;Lmx1a,No meaningful historical match,No meaningful match,2,0.028169014084507043,0.011174831208383867,Chgb;Chga,Historical reference provides no meaningful match; do not force a label.,standard_review,no preassigned hypothesis,epithelial,Enterochromaffin,Tph1+/Tac1+ enterochromaffin cell,high,"Chga, Chgb, Tph1, Tac1, Slc18a1, Ddc, Rfx6, Neurod1, Cpe, and Lmx1a support an enterochromaffin identity; balanced library representation argues against a sample-specific artifact.",TRUE
18,18,111,0.9425951086956522,45.945945945945944,54.054054054054056,Ptprc;Arhgap15;Pip4k2a;Trps1;Dock10;Cd74;Fyb;Zeb2;Slc9a9;Lyn;H2-Aa;Parp8;Dock2;H2-Eb1;Lrmda,Macrophages,Strong,10,0.1111111111111111,2.9370107810502227e-16,H2-Aa;H2-Eb1;H2-Ab1;Wdfy4;Dock10;Lyz2;Cd86;Ciita;Itgax;Spi1,The historical sheet contains prominent APC/DC-associated signal; validate macrophage identity from current de novo markers.,standard_review,no preassigned hypothesis,immune,MHC-II-high macrophage,MHC-II-high macrophage,high,"Ptprc, H2-Aa, H2-Ab1, H2-Eb1, Cd74, Lyz2, Adgre1, Csf1r, Cd86, Itgax, and Spi1 support an MHC-II-high macrophage identity, with APC-associated features retained as part of the state.",TRUE
19,19,96,0.8152173913043478,45.833333333333336,54.166666666666664,Agr2;Slc12a8;Spink4;mt-Nd2;mt-Nd3;Klk1;mt-Nd4;mt-Nd5;Rpl13;mt-Nd1;Eef1a1;Rps21;mt-Cytb;Rpsa;mt-Co1,DSC,Moderate,8,0.0898876404494382,1.871124060363582e-12,Selenom;Ccl6;Slc12a8;Pdia5;Gm1123;Guca2a;Spdef;Ramp1,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,epithelial,Secretory progenitor,Atoh1+/Spdef+/Spink4+ secretory progenitor,moderate,"Agr2, Spink4, Muc2, Slc12a8, Atoh1, Spdef, Kit, Retnlb, and Guca2a support an early secretory-progenitor program; mitochondrial and ribosomal enrichment and the small cluster size limit a more mature assignment.",TRUE
20,20,84,0.7133152173913043,44.04761904761905,55.95238095238095,Dlc1;Col3a1;Rora;Celf2;Pcdh7;Rbms3;Cped1;Col5a2;Sdk1;Col1a2;Zeb1;Tenm3;Sox5;Robo2;Lhfp,No meaningful historical match,No meaningful match,1,0.010638297872340425,0.47718707020871376,Zeb2,Historical reference provides no meaningful match; do not force a label.,standard_review,no preassigned hypothesis,stromal,ECM fibroblast,Col1a1+/Pdgfra+ ECM-producing fibroblast,high,"Col1a1, Col1a2, Col3a1, Col5a2, Pdgfra, Dcn, Col14a1, Fbn1, and Lama2 support an ECM-producing fibroblast identity.",TRUE
21,21,80,0.6793478260869565,7.5,92.5,Arhgap15;Ptprc;Skap1;Gm2682;Satb1;Ms4a4b;Dock2;Themis;Lef1;Ikzf1;Mbnl1;Mir142hg;Gm26740;H2-K1;Inpp4b,TCell,Moderate,9,0.0989010989010989,2.895242148631172e-14,Ms4a4b;Skap1;Ptprc;Trac;Cd52;Trbc2;Gimap3;Itgb7;Trbc1,No source-specific caution was flagged; cross-platform validation still applies.,standard_review,no preassigned hypothesis,immune,T lymphocyte,Conventional T lymphocyte,high,"Ptprc, Skap1, Themis, Lef1, Satb1, Trbc1, Trbc2, Cd3d, and Cd3e support conventional T-lymphocyte identity. One library contributes 92.5%, so abundance differences require later replicate-aware validation.",TRUE
22,22,68,0.5774456521739131,10.294117647058824,89.70588235294117,Cd74;Ebf1;Bank1;Aff3;H2-Aa;Arhgap15;Ptprc;Mef2c;H2-Ab1;Pax5;H2-Eb1;Mir142hg;Igkc;mt-Nd1;Bach2,BCell,Moderate,6,0.06741573033707865,9.913965795888635e-9,Gm30211;Mef2c;Ighm;Btla;Ly6d;Iglc3,The historical sheet contains mixed B-cell and pDC-like signal; Siglech/Pld4/Ccr9/Flt3 overlap must not be treated as B-cell proof.,standard_review,no preassigned hypothesis,immune,B cell,B lymphocyte,high,"Cd74, Ebf1, Bank1, Pax5, Cd79a, Cd79b, Igkc, H2-Aa, and H2-Ab1 support B-cell identity. One library contributes 89.7%, so abundance differences remain descriptive.",TRUE
23,23,60,0.5095108695652174,43.333333333333336,56.666666666666664,Bnc2;Efna5;Prkg1;Meis2;Plxna4;Meis1;Gpm6a;Celf2;Cdh11;Zfpm2;Dlc1;Col3a1;Arhgap29;Dcn;Sox5,No meaningful historical match,No meaningful match,1,0.01020408163265306,0.47718707020871376,Adamtsl1,Historical reference provides no meaningful match; do not force a label.,standard_review,no preassigned hypothesis,stromal,Mesothelial,Wt1+/Muc16+ ECM-rich mesothelial cell,high,"Wt1, Muc16, Bnc2, Cdh11, Dcn, Col3a1, C3, and ECM-associated genes support an ECM-rich mesothelial population rather than an ordinary epithelial or endothelial state.",TRUE
24,24,40,0.33967391304347827,45,55,Zfpm2;Ldb2;Klhl4;Zfp521;Reln;Lama4;Ntn1;Arhgap29;Ebf1;Rbms1;Dennd4a;Prex2;Cped1;Gab2;Mmrn1,No meaningful historical match,No meaningful match,2,0.021505376344086023,0.03988145245555875,Kdr;Mef2c,Historical reference provides no meaningful match; do not force a label.,standard_review,no preassigned hypothesis,vascular,Lymphatic endothelial,Prox1+/Lyve1+/Flt4+ lymphatic endothelial cell,high,"Prox1, Lyve1, Flt4, Ccl21a, Reln, Mmrn1, Kdr, Pecam1, Emcn, and Rhoj define lymphatic endothelium.",TRUE
25,25,31,0.2632472826086957,32.25806451612903,67.74193548387096,Rps12;Tpt1;Rpl32;Actb;Rpl13;Rps24;Rpl41;Rps20;Eef1a1;Mt1;Rps3a1;Rps8;Rps10;Rpl7;Rpl17,No meaningful historical match,No meaningful match,1,0.0125,0.4770192516400282,Car1,Historical reference provides no meaningful match; do not force a label.,standard_review,no preassigned hypothesis,unresolved,Mixed epithelial-stromal,Low-complexity mixed epithelial-stromal profile,low,"Ribosomal genes dominate this 31-nucleus cluster, while Car1 and smooth-muscle/ECM genes occur at low frequency. The mixed epithelial-stromal signal and limited complexity do not support a more specific identity.",TRUE
