cluster,nuclei,percent_of_all_nuclei,smallest_library_fraction,largest_library_fraction,top_RNA_markers,historical_d21_best_match,historical_d21_overlap_strength,historical_d21_overlap_n,historical_d21_jaccard,historical_d21_enrichment_p_adj,historical_d21_shared_genes,historical_d21_reference_caution,review_scope,review_hint,broad_compartment,cell_state,annotation_confidence,evidence_summary,approved
10,575,4.460476301295477,38.608695652173914,61.391304347826086,Ptprc;Arhgap15;Skap1;Mbnl1;Dock2;Dock10;Mir142hg;Ikzf2;Cd52;St6galnac3;Tmsb4x;Gm2682;Ikzf1;Cd226;Celf2,TCell,Strong,18,0.21951219512195122,4.2638350180460185e-35,Skap1;Ptprc;Ms4a4b;Klrd1;Il2rb;Ptpn22;Cd3g;Gimap4;Trbc2;Cd52;Trbc1;Cd7;Nkg7;Runx3;Ctsw;Cd3e;Coro1a;Ccl5,No source-specific caution was flagged; cross-platform validation still applies.,non_epithelial_review,T/NK lymphoid candidate,immune,T/NK lymphocyte,high,"Ptprc with Cd3d, Cd3e and Trbc1 plus Nkg7 and Klrd1 establishes lymphoid identity but does not justify separating T and NK cells at this resolution.",TRUE
11,517,4.010549996121325,39.26499032882012,60.73500967117988,Lama3;Gm15283;Marchf3;Tmem45b;Slc11a2;Clic5;Slc40a1;Neat1;Tcf7l2;Egln3;Abtb2;Gna14;Cyp2d12;Eps8;Nr3c2,EC,Moderate,9,0.0989010989010989,2.0822492915827685e-14,Lama3;Egln3;Slc40a1;Clic5;Atp12a;Mgam2-ps;Tgm3;Slc15a1;Ceacam20,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,epithelial_review,absorptive epithelial candidate,epithelial,Slc40a1+ absorptive colonocyte,moderate,"Slc40a1, Clic5, Slc26a3, Selenbp1, Cdh1 and Epcam support absorptive epithelium, although the program is weaker than in clusters 7-9.",TRUE
12,281,2.179815375067877,39.8576512455516,60.1423487544484,Prkg1;Col3a1;Dlc1;Rbms3;Pcdh7;Rora;Dmd;Meis2;Slc8a1;Cald1;Celf2;Rbpms;Myh11;Pdzrn3;Cacna1c,No meaningful historical match,No meaningful match,0,0,1,,Historical reference provides no meaningful match; do not force a label.,non_epithelial_review,smooth-muscle candidate,stromal,Smooth muscle cell,high,"Myh11, Acta2, Mylk, Carmn and Tagln define smooth muscle, with Col1a1, Col1a2, Col3a1 and Dcn indicating extracellular-matrix production.",TRUE
13,269,2.0867271739973625,28.62453531598513,71.37546468401487,Spink4;Agr2;Klk1;Slc12a8;9030622O22Rik;Elapor1;Muc2;Fam3d;Rpl27a;Ccl6;Txndc5;Galnt7;Creb3l1;Gfpt1;Rpl37,DSC,Strong,14,0.16666666666666666,1.3232289355519732e-25,Ccl6;Reg4;Selenom;Ramp1;Slc12a8;Sval1;Hgfac;Gm1123;Qsox1;Atp2c2;Hepacam2;Pdia5;Hsd11b2;Plpp1,No source-specific caution was flagged; cross-platform validation still applies.,epithelial_review,Reg4-positive deep crypt secretory candidate,epithelial,Reg4+ deep crypt secretory cell,high,"Reg4, Spink4, Mptx1, Agr2 and Muc2 define colonic deep crypt secretory cells rather than Paneth cells.",TRUE
14,218,1.6911023194476766,44.03669724770642,55.96330275229358,Kcnb2;Chgb;Ctnna2;Scn3a;Cadps;Ptprn2;Piezo2;Chga;Slc38a11;Ddc;Lmx1a;Tafa1;Nrxn1;Glis3;Snap25,EEC,Limited,3,0.04285714285714286,1.8695519063504073e-4,Chgb;Chga;Pam,No source-specific caution was flagged; cross-platform validation still applies.,epithelial_review,enterochromaffin-like EEC candidate,epithelial,Enterochromaffin cell,high,"Tph1, Lmx1a, Chga, Chgb, Ddc, Tac1 and Neurod1 define a serotonin-producing enterochromaffin population.",TRUE
15,206,1.5980141183771623,4.368932038834951,95.63106796116504,Cyp2c55;Grin3a;Slc11a2;1810065E05Rik;Slc30a10;S100g;Slc8a1;B4galnt2;Selenbp1;Nr1h4;Slc40a1;Prom1;Car1;Gpr15lg;Xist,EC,Moderate,5,0.05263157894736842,9.637745529876421e-7,Slc30a10;Car1;Slc40a1;Ces2c;Ces2e,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,epithelial_review,absorptive progenitor candidate; strongly library-skewed,epithelial,Cyp2c55+ immature absorptive colonocyte,moderate,"Cyp2c55, Selenbp1 and Car1 with intermediate Krt20 and relatively weak Aqp8/Slc26a3 support an immature absorptive state; 96% of nuclei derive from one library.",TRUE
16,182,1.4118377162361337,35.714285714285715,64.28571428571429,Cd74;H2-Ab1;H2-Eb1;Ptprc;H2-Aa;Zeb2;Tgfbr1;Fyb;Trps1;Pip4k2a;Dock10;Arhgap15;Apoe;Lyn;Slc8a1,Macrophages,Strong,10,0.1111111111111111,1.836404951194788e-16,H2-Ab1;H2-Eb1;H2-Aa;Lyz2;Spi1;Dock10;Cd86;Bcl2a1b;Ms4a6c;Wdfy4,The historical sheet contains prominent APC/DC-associated signal; validate macrophage identity from current de novo markers.,non_epithelial_review,MHC-II-high macrophage candidate; confirm C1q/Apoe/Ms4a7/Adgre1/Csf1r program,immune,MHC-II-high macrophage,high,"C1qa/b/c, Adgre1, Csf1r, Ms4a7, Lyz2 and Apoe establish macrophage identity, while Cd74 and H2 genes define the MHC-II-high state.",TRUE
17,161,1.2489333643627336,44.72049689440994,55.27950310559006,Kcnb2;Ptprn2;Cacna1a;Pyy;Map2;Rimbp2;Cacnb2;Rims2;Slc8a1;Rgs7;Itpr1;Etv1;Pclo;Adcy2;Nbea,EEC,Limited,3,0.04285714285714286,1.8695519063504073e-4,Pyy;Gcg;Insl5,No source-specific caution was flagged; cross-platform validation still applies.,epithelial_review,Pyy/Gcg-positive L-cell candidate,epithelial,Distal L-cell enteroendocrine cell,high,"Pyy, Gcg and Insl5 with Isl1, Pax6, Neurod1 and Chga define a distal-colonic L-cell population.",TRUE
18,160,1.2411760142735242,32.5,67.5,Ebf1;Cd74;Bank1;Arhgap15;Ptprc;Mef2c;Bach2;Igkc;Aff3;H2-Ab1;H2-Aa;Dock2;Ighm;Cd79a;Ikzf3,Macrophages,Moderate,7,0.07526881720430108,1.994548946706421e-10,H2-Ob;H2-Ab1;Wdfy4;H2-Aa;Rasgrp3;H2-Eb1;Dock10,The historical sheet contains prominent APC/DC-associated signal; validate macrophage identity from current de novo markers.,non_epithelial_review,B-cell candidate,immune,B cell,high,"Cd79a, Cd79b, Ms4a1, Igkc, Cd37 and Ptprc define B cells; Cd74 and MHC-II expression are consistent with B-cell antigen presentation rather than macrophage identity.",TRUE
19,122,0.9463967108835621,33.60655737704918,66.39344262295081,Slc12a8;D17H6S56E-5;Cenpp;Top2a;Dlg2;9030622O22Rik;Airn;Kcnma1;Tnfaip8;Dnajc10;Diaph3;Fut8;Muc2;Arhgef38;Elapor1,TAC,Strong,16,0.1951219512195122,2.0382212527708376e-30,Top2a;Tpx2;Knl1;Anln;Kif4;Kif23;Kif11;Mki67;Kif15;Cenpe;Ect2;Cep55;Mis18bp1;Bub1;Ckap2;Depdc1a,No source-specific caution was flagged; cross-platform validation still applies.,focused_crypt_review,cycling secretory progenitor candidate,epithelial,Cycling secretory progenitor,high,"Top2a, Mki67 and Cdk1 occur with Atoh1, Spdef, Muc2, Agr2, Spink4, Kit and Reg4, defining proliferating secretory-committed progenitors.",TRUE
20,80,0.6205880071367621,22.5,77.5,Ptma;Rpl5;Zg16;Rps14;Muc2;Eef1a1;Rpl18a;Rpl32;Rpl26;Rpl23;Rplp1;Saa1;Rps16;Rpl8;Rps8,No meaningful historical match,No meaningful match,1,0.013888888888888888,0.3136925510704316,Insl5,Historical reference provides no meaningful match; do not force a label.,low_confidence_QC_review,small goblet/secretory candidate; review low-complexity evidence,unresolved,Mixed epithelial-stromal profile,low,"Krt8/Krt19, Tff3, Spink4 and Reg4 occur with Acta2, Mylk, Myh11 and collagen genes; the small cluster has a likely mixed, doublet or contamination-associated profile.",TRUE
21,64,0.49647040570940965,1.5625,98.4375,Duox2;Ifit1bl1;Ly6a;Car4;Clic5;Saa1;Ly6m;Krt20;Cdh17;Lgals3;Clca4b;Duoxa2;Actn4;Eps8;Plac8,EC,Strong,11,0.12359550561797752,1.3466212906537465e-18,Ifit1bl1;Saa1;Clic5;Krt20;Prss30;Ly6g;Atp12a;Rhoc;Pmp22;Sectm1b;Cyp2d34,EC is a source-defined absorptive epithelial label; interpret it as colonocyte-program continuity rather than an exact current cell state.,low_confidence_QC_review,stress/inflammatory colonocyte candidate; strongly library-skewed,epithelial,Stress/inflammation-associated colonocyte,moderate,"Krt20, Aqp8 and epithelial markers establish colonocyte identity, while Duox2/Duoxa2, Ifit1bl1, Ly6a, Saa1, Plac8 and MHC-II genes support an activated state; 98% derive from one library.",TRUE
22,64,0.49647040570940965,10.9375,89.0625,Runx2;St8sia4;Siglech;Ptprc;Mctp2;Fyn;Tcf4;Plekhm3;Grm8;Irf8;Bcl11a;Ikzf1;Pip4k2a;Lair1;Mbnl1,BCell,Strong,14,0.16470588235294117,1.6186049431332963e-25,Siglech;Runx2;St8sia4;Lair1;Pld4;Cd300c;P2ry14;Cybb;Ccr9;Mef2c;Sell;Flt3;Zeb2;Ly6d,The historical sheet contains mixed B-cell and pDC-like signal; Siglech/Pld4/Ccr9/Flt3 overlap must not be treated as B-cell proof.,non_epithelial_review,plasmacytoid dendritic-cell candidate,immune,Plasmacytoid dendritic cell,high,"Siglech, Tcf4, Bcl11a, Flt3, Pld4 and Ccr9 form a coherent mouse plasmacytoid dendritic-cell program despite historical overlap with B-cell markers.",TRUE
23,58,0.4499263051741525,34.48275862068966,65.51724137931035,Mcpt1;Mcpt2;Cpa3;Prkcb;Lrmda;Angpt1;Chn2;Osbpl8;Pde7b;Ikzf1;Rad51b;Kit;Kcnq5;Ms4a2;Thsd4,MastCells,Strong,26,0.35135135135135137,2.9634072328114836e-57,Mcpt1;Mcpt2;Cpa3;Ms4a2;Prkcb;Angpt1;Tmem233;Cd244a;Rgs1;Itgae;Hs6st2;Gata2;Ikzf1;Mcpt4;Ubash3b;Ifitm1;Cd34;Mcpt8;Rab44;Zeb2;Csf2rb;Il1rl1;Ttc28;Rgs18;Emilin2;Rhoh,No source-specific caution was flagged; cross-platform validation still applies.,non_epithelial_review,mast-cell candidate supported by Mcpt1/Mcpt2/Cpa3/Ms4a2/Kit,immune,Mast cell,high,"Mcpt1, Mcpt2, Cpa3, Ms4a2 and Kit unequivocally identify mast cells.",TRUE
24,34,0.2637499030331239,23.529411764705884,76.47058823529412,Bnc2;Dlc1;Col3a1;Prkg1;C3;Efna5;Col1a1;Sparc;Cdon;Dcn;Col1a2;Sox6;Gpm6a;Meg3;Arhgap29,No meaningful historical match,No meaningful match,0,0,1,,Historical reference provides no meaningful match; do not force a label.,non_epithelial_review,ECM-rich mesothelial candidate; Rspo1 is not lineage-specific and MMT is not established,stromal,ECM-rich mesothelial cell,moderate,"Wt1, Upk3b, Muc16, Lrrn4 and Msln define mesothelium, while collagen and Dcn expression indicate an ECM-rich state; Rspo1 is not used as mesothelial evidence and these data do not establish mesothelial-to-mesenchymal transition.",TRUE
25,32,0.24823520285470482,34.375,65.625,Ptprm;Klhl4;Reln;Ebf1;Stox2;Prox1;Mmrn1;Ldb2;Lama4;Fmnl2;Dock9;Arhgap29;Dennd4a;Qki;Cp,No meaningful historical match,No meaningful match,2,0.020618556701030927,0.039292278055462856,Cdh5;Kdr,Historical reference provides no meaningful match; do not force a label.,non_epithelial_review,lymphatic endothelial candidate,vascular,Lymphatic endothelial cell,high,"Prox1, Lyve1, Flt4, Ccl21a and Pdpn together with Pecam1, Cdh5 and Kdr define lymphatic endothelium.",TRUE
26,19,0.147389651694981,26.31578947368421,73.6842105263158,St18;Dclk1;Nebl;Fyb;Itprid1;Sh2d6;Tanc2;Myo1b;Hck;Irag2;Dnah5;Dgki;Nav2;Rgs13;Pik3r5,Tuft,Strong,27,0.375,2.515726685205416e-60,Dclk1;St18;Itprid1;Nebl;Sh2d6;Dnah5;Dgki;Rgs13;Hck;Sh2d7;Fyb;Trpm5;Pik3r5;Pou2f3;Alox5ap;Pygl;Plcg2;Avil;Alox5;Bmx;Tm4sf1;Ltc4s;Chat;Gnat3;Chn2;Hmx3;Matk,No source-specific caution was flagged; cross-platform validation still applies.,epithelial_review,tuft candidate,epithelial,Tuft cell,high,"Dclk1, Pou2f3, Trpm5, Avil and Il17rb provide a canonical tuft-cell signature despite the small population of 19 nuclei.",TRUE
